Caffeine Intake,Stress Level,Sleep Duration,Light Exposure
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
400.0,<4,>8,<6
400.0,<4,>8,6-8
400.0,<4,6-8,<6
400.0,<4,6-8,6-8
400.0,<4,6-8,6-8
400.0,<4,6-8,6-8
400.0,<4,6-8,6-8
400.0,<4,6-8,6-8
400.0,<4,6-8,6-8
400.0,<4,6-8,6-8
400.0,<4,6-8,6-8
400.0,<4,6-8,9-11
400.0,<4,6-8,9-11
400.0,>6,>8,6-8
400.0,>6,>8,9-11
400.0,>6,>8,9-11
400.0,>6,>8,9-11
400.0,>6,>8,9-11
400.0,>6,6-8,<6
400.0,>6,6-8,<6
400.0,>6,6-8,6-8
400.0,>6,6-8,6-8
400.0,>6,6-8,6-8
400.0,>6,6-8,9-11
400.0,>6,6-8,9-11
400.0,>6,6-8,9-11
400.0,>6,6-8,9-11
400.0,>6,6-8,9-11
400.0,4-6,<6,<6
400.0,4-6,<6,6-8
400.0,4-6,<6,6-8
400.0,4-6,>8,<6
400.0,4-6,>8,6-8
400.0,4-6,>8,6-8
400.0,4-6,>8,6-8
400.0,4-6,>8,6-8
400.0,4-6,>8,6-8
400.0,4-6,>8,6-8
400.0,4-6,>8,6-8
400.0,4-6,>8,9-11
400.0,4-6,>8,9-11
400.0,4-6,>8,9-11
400.0,4-6,>8,9-11
400.0,4-6,>8,9-11
400.0,4-6,>8,9-11
400.0,4-6,6-8,<6
400.0,4-6,6-8,>11
400.0,4-6,6-8,>11
400.0,4-6,6-8,6-8
400.0,4-6,6-8,6-8
400.0,4-6,6-8,6-8
400.0,4-6,6-8,6-8
400.0,4-6,6-8,6-8
400.0,4-6,6-8,6-8
400.0,4-6,6-8,6-8
400.0,4-6,6-8,6-8
400.0,4-6,6-8,6-8
400.0,4-6,6-8,6-8
400.0,4-6,6-8,6-8
400.0,4-6,6-8,6-8
400.0,4-6,6-8,6-8
400.0,4-6,6-8,9-11
400.0,4-6,6-8,9-11
400.0,4-6,6-8,9-11
400.0,4-6,6-8,9-11
400.0,4-6,6-8,9-11
400.0,4-6,6-8,9-11
400.0,4-6,6-8,9-11
